id,uuid_a,gene_name_a,ncbi_id_b,uuid_b,gene_name_b,protein_name_b,alt_id_b,detection_method,pmid,analytic_throughput,source,curater_comments,meeting_imex_criteria,high_stringency_interactor
3391,O15294,OGT,Homo sapiens (Human),P10155,RO60,60 kDa SS-A/Ro ribonucleoprotein,refseq:NP_001317949|refseq:NP_001035828|refseq:NP_001035829|refseq:NP_004591|refseq:NP_001166996|refseq:NP_001166995,pull down,32994395,High throughput,BioGRID,,,
3392,O15294,OGT,Homo sapiens (Human),P15880,RPS2,40S ribosomal protein S2,refseq:NP_002943,pull down,32994395,High throughput,BioGRID,,,
3393,O15294,OGT,Homo sapiens (Human),P78310,CXADR,Coxsackievirus and adenovirus receptor,refseq:NP_001193993|refseq:NP_001193992|refseq:NP_001329|refseq:NP_001193995|refseq:NP_001193994,pull down,32994395,High throughput,BioGRID,,,
3394,O15294,OGT,Homo sapiens (Human),Q5SSJ5,HP1BP3,Heterochromatin protein 1-binding protein 3,refseq:NP_001363721|refseq:NP_001363720|refseq:NP_001363723|refseq:NP_001363722|refseq:NP_001363725|refseq:NP_001363724|refseq:NP_001358981|refseq:NP_001363726|refseq:NP_057371|refseq:NP_001363716|refseq:NP_001363717|refseq:NP_001363718|refseq:NP_001363719,pull down,32994395,High throughput,BioGRID,,,
3395,O15294,OGT,Homo sapiens (Human),Q8N7W2,BEND7,BEN domain-containing protein 7,refseq:NP_001094382|refseq:NP_689964,pull down,32994395,High throughput,BioGRID,,,
3396,O15294,OGT,Homo sapiens (Human),Q969Y2,GTPBP3,"tRNA modification GTPase GTPBP3, mitochondrial",refseq:NP_116009|refseq:NP_598399|refseq:NP_001182351|refseq:NP_001122327,pull down,32994395,High throughput,BioGRID,,,
3397,O15294,OGT,Homo sapiens (Human),Q9BYG5,PARD6B,Partitioning defective 6 homolog beta,refseq:NP_115910,pull down,32994395,High throughput,BioGRID,,,
3398,O15294,OGT,Homo sapiens (Human),Q9UHB9,SRP68,Signal recognition particle subunit SRP68,refseq:NP_055045|refseq:NP_001247431|refseq:NP_001247432,pull down,32994395,High throughput,BioGRID,,,
3399,O15294,OGT,Homo sapiens (Human),Q96S66,CLCC1,Chloride channel CLIC-like protein 1,refseq:NP_001364389|refseq:NP_001364399|refseq:NP_001364398|refseq:NP_001364395|refseq:NP_001364394|refseq:NP_001364397|refseq:NP_001364396|refseq:NP_001364391|refseq:NP_001364390|refseq:NP_001364393|refseq:NP_001364392|refseq:NP_055942|refseq:NP_001364387|refseq:NP_001364388|refseq:NP_001265132|refseq:NP_001265131|refseq:NP_001041675,pull down,32994395,High throughput,BioGRID,,,
3400,O15294,OGT,Homo sapiens (Human),P30038,ALDH4A1,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",refseq:NP_001154976|refseq:NP_733844|refseq:NP_003739|refseq:NP_001306147,pull down,32994395,High throughput,BioGRID,,,
3401,O15294,OGT,Homo sapiens (Human),P78559,MAP1A,Microtubule-associated protein 1A,refseq:NP_002364,pull down,32994395,High throughput,BioGRID,,,
3402,O15294,OGT,Homo sapiens (Human),Q13426,XRCC4,DNA repair protein XRCC4,refseq:NP_001304942|refseq:NP_071801|refseq:NP_003392|refseq:NP_001304941|refseq:NP_072044,pull down,32994395,High throughput,BioGRID,,,
3403,O15294,OGT,Homo sapiens (Human),Q9H5K3,POMK,Protein O-mannose kinase,refseq:NP_001264900|refseq:NP_115613,pull down,32994395,High throughput,BioGRID,,,
3404,O15294,OGT,Homo sapiens (Human),Q06203,PPAT,Amidophosphoribosyltransferase,refseq:NP_002694,pull down,32994395,High throughput,BioGRID,,,
3405,O15294,OGT,Homo sapiens (Human),Q13885,TUBB2A,Tubulin beta-2A chain,refseq:NP_001060|refseq:NP_001297244,pull down,32994395,High throughput,BioGRID,,,
3406,O15294,OGT,Homo sapiens (Human),P04075,ALDOA,Fructose-bisphosphate aldolase A,refseq:NP_001121089|refseq:NP_908932|refseq:NP_908930|refseq:NP_001230106|refseq:NP_000025,pull down,32994395,High throughput,BioGRID,,,
3407,O15294,OGT,Homo sapiens (Human),Q9Y5A9,YTHDF2,YTH domain-containing family protein 2,refseq:NP_001166299|refseq:NP_057342|refseq:NP_001166599,pull down,32994395,High throughput,BioGRID,,,
3408,O15294,OGT,Homo sapiens (Human),Q9H0D6,XRN2,5'-3' exoribonuclease 2,refseq:NP_036387|refseq:NP_001304889,pull down,32994395,High throughput,BioGRID,,,
3409,O15294,OGT,Homo sapiens (Human),Q9Y282,ERGIC3,Endoplasmic reticulum-Golgi intermediate compartment protein 3,refseq:NP_938408|refseq:NP_057050,pull down,32994395,High throughput,BioGRID,,,
3410,O15294,OGT,Homo sapiens (Human),Q16629,SRSF7,Serine/arginine-rich splicing factor 7,refseq:NP_001182375|refseq:NP_001026854|refseq:NP_001350731,pull down,32994395,High throughput,BioGRID,,,
3411,O15294,OGT,Homo sapiens (Human),Q15633,TARBP2,RISC-loading complex subunit TARBP2,refseq:NP_599151|refseq:NP_599150|refseq:NP_004169,pull down,32994395,High throughput,BioGRID,,,
